Department,Course Number,Course Title,Course Description,Terms,Units,Instructors
ME,ME 491,Ph.D. Teaching Experience,Ph.D. students may enroll for up to 3 units while working as a TA or CA. May be repeated for credit.,"Aut, Win, Spr",1-3,"; Boies, A. (PI); Cai, W. (PI); Cappelli, M. (PI); Chaudhuri, O. (PI); Collins, S. (PI); Cutkosky, M. (PI); Darve, E. (PI); Delp, S. (PI); Edwards, M. (PI); Feig, V. (PI); Follmer, S. (PI); Goodson, K. (PI); Gu, W. (PI); Hanson, R. (PI); Iaccarino, G. (PI); Ihme, M. (PI); Kennedy, M. (PI); Kenny, T. (PI); Kuhl, E. (PI); Larson, N. (PI); Lele, S. (PI); Levenston, M. (PI); Lew, A. (PI); Majumdar, A. (PI); Mani, A. (PI); Mayalu, M. (PI); McKeon, B. (PI); Moin, P. (PI); Okamura, A. (PI); Prinz, F. (PI); Santiago, J. (PI); Shaqfeh, E. (PI); Tang, S. (PI); Wang, H. (PI); Zhao, R. (PI); Zheng, X. (PI)"
ENGR,ENGR 202S,Directed Writing Projects,"Effective writing is key to academic and professional progress. 202S provides individualized writing instruction for students working on important writing projects such as dissertations, grant proposals, theses, journal articles, and teaching and research statements. The course consists of once weekly one-on-one conferences with lecturers from the Technical Communication Program. Students receive close attention to and detailed feedback on their writing to help them become more confident writers, hone their writing skills, and tackle any writing issues they may have. The TCP Director assigns each student to an instructor; meetings are scheduled by each instructor. No prerequisite. Grading: Satisfactory/No Credit. This course may be repeated for credit.","Aut, Win, Spr",1,"; Harrison, K. (PI); McDevitt, M. (PI); Modifica, L. (PI); O'Nan, J. (PI); Sullivan, E. (PI)"
ENGR,ENGR 202W,Technical  Communication,"To be effective as an engineer or scientist, you must communicate your cutting-edge research and projects effectively to a broad range of audiences: your professors, your fellow students, your colleagues in the field, and sometimes the public. ENGR. 202W offers a collaborative environment in which you will hone your communication skills by writing and presenting about a project of your choosing and working on your CV/resume. ENGR202W is a practicum (supervised practical application) that helps you build toward a complete skillset for technical communication in the twenty-first century. Through interactive presentations and activities, group workshops, and individual conferences, you will learn best practices for communicating to academic and professional audiences for a range of purposes.","Aut, Win, Spr",3,"; Harrison, K. (PI); Modifica, L. (PI)"
ENGR,ENGR 203,Public Speaking (ENGR 103),"Priority to Engineering students. Introduction to speaking activities, from impromptu talks to carefully rehearsed formal professional presentations. How to organize and write speeches, analyze audiences, create and use visual aids, combat nervousness, and deliver informative and persuasive speeches effectively. Weekly class practice, rehearsals in one-on-one tutorials, videotaped feedback. Limited enrollment.","Aut, Win, Spr",3,"; Vassar, M. (PI)"
ENGR,ENGR 204R,Designing Your Spiritual Life (ENGR 104R),"An atheist, an Imama, a Reverend, a designer and a Rabbi walk into a juice bar. They apply human centered design to integrate spirituality into everyday life and vocational wayfinding, and the result is a class that explores spiritual needfinding, designing and prototyping spiritual rituals, and creating odysseys with coherence/spiritual health as a gauge for students to reflect on. Designing Your Spiritual Life will introduce the innovative problem-solving methodology of design thinking within the context of ""life design for students with a spiritual focus,"" with two main objectives: 1. to serve as an affinity space for students who are interested in multifaith discussions on spiritual wellness, and 2. to equip these students with practical ideas and tools with which they can proactively craft their life experiences. Students are not expected to be adherents of or have expertise in religious practices and traditions or background in religious scholarship. Seekers, students of faith and no faith are all welcome. This class includes seminar-style and small-group discussions, activities, personal written reflections, and individual mentoring/coaching. In this experiential class, students will engage in meaningful, spiritual dialogue and explore ways to nurture meaning and purpose in their daily lives.","Aut, Win, Spr",2,"; Aziz, J. (PI); Darwish, A. (PI); Rosic, M. (PI)"
ENGR,ENGR 241,Advanced Micro and Nano Fabrication Laboratory,"This project course focuses on developing fabrication processes for ExFab, a shared facility that supports flexible lithography, heterogeneous integration, and rapid micro prototyping. Team projects are approved by the instructor and are mentored by an SNF staff member and an external mentor from industry. Students will plan and execute experiments and document them in a final presentation and report, to be made available on the lab's Wiki for the benefit of the Stanford research community. Students must consult with Prof. Fan, SNF staff, and an external mentor, and also need to submit an approved proposal before signing up.",Spr,3,"; Senesky, D. (PI); Cordero, S. (TA)"
ENGR,ENGR 245,The Lean LaunchPad: Getting Your Lean Startup Off the Ground,"Learn how to turn a technical idea from a lab, research, or vision into a successful business using the Lean Launchpad process (business model canvas, customer development, running experiments, and agile engineering.) Hands-on experiential class. 15+ hours per week talking to customers, regulators and partners outside the classroom, plus time building minimal viable products. This class is the basis of the National Science Foundation I-Corps with a focus on understanding all the components to build for deep technology and life science applications. Team applications required. Proposals may be software, hardware, or service of any kind. See course website http://leanlaunchpad.stanford.edu/. Prerequisite: interest in and passion for exploring whether your technology idea can become a real company. Limited enrollment.","Win, Spr",4,"; Blank, S. (PI); Epstein, J. (PI); Hershenson, M. (PI); Weinstein, S. (PI); Gilfoyle, M. (TA); Gupta, A. (TA); Mahajan, A. (TA); Meykadeh, R. (TA); Vetticaden, D. (TA)"
ENGR,ENGR 265,Technology Licensing and Commercialization,"Course focuses on how to bridge the gap between creation and commercialization with new ideas, inventions, and technology. Comprehensive introduction to patents, copyrights, trademarks, and trade secrets. Covers business strategies and legal aspects of determining what can be owned and licensed, how to determine commercial value, and what agreements and other paperwork is necessary. Discussion includes aspects of Contract and Intellectual Property law as well as provisions of license agreements, NDAs, and their negotiation. All materials provided including many sample documents.",Spr,3,
ENGR,ENGR 289,"Career Building: Entrepreneurship / Intrapreneurship, People, Innovation, Decision-Making and Impact (CHEMENG 189, CHEMENG 289, RAD 189, RAD 289)","This course is designed to enable graduate students and advanced undergraduates in science and engineering to hone strategies for career success. Drawing strongly on entrepreneurial principles and lessons from industry, the course complements the traditional curriculum by focusing on career-building tools that help students improve their professional prospects and achieve their goals. Relevant for those who plan to pursue careers in academia and industry alike, the course emphasizes principles that empower individuals to take more control of their futures: investing in yourself, building professional networks, taking intelligent risks, and making uncertainty and volatility work to one's advantage. Through a series of in-classroom presentations and interviews - with entrepreneurs, professors, executives, athletes, investors, and thought leaders from diverse fields and sectors - students gain knowledge and strategies related to topics including effective communication and storytelling, negotiation fundamentals, ideation and innovation, translating research advances into products, and building great teams. Additional topics include biotech and deep tech start-ups, and strategies for cultivating a successful academic career. Guest speakers for the Spring 2025 quarter include: 3-time Super Bowl champ with the San Francisco 49ers, Steve Young; renowned organizational theorist and author of Crossing the Chasm, Geoffrey Moore; CMO of Autodesk and the 2022 Forbes ""most influential CMO in the world,"" Dara Treseder; National Geographic Explorer and distinguished professor of Biology and Environmental Sciences at CUNY, David Gruber; SVP and Chief Technology and Sustainability Officer of Eastman Chemical, Chris Killian; Stanford professors and entrepreneurs, Renee Zhao and Jeremy Heit; and author and founder of Stanford GSB's Mastery in Communication Initiative, JD Schramm. Prior guests have included author and LinkedIn Co-founder, Reid Hoffman; Chief Storytelling Officer at National Geographic, Kaitlin Yarnell; 2-time gold medalist and World Cup champion, Mia Hamm; former CEO of Ford Motors, Alan Mulally; and CNN contributor, author, and social entrepreneur, Van Jones. The idea for this course emerged from the instructor's reflections on 30 years of research, teaching, mentorship, and deep entrepreneurial experiences spanning the gamut of approaches to translational science - academic discovery, invention, conceiving of and leading multi-institutional research centers, building research and business teams, launching and financing start-ups, building business models to advance real-world applications of cutting-edge science, and seeing through research-based companies to success. For this course, students will be expected to complete relevant reading assignments, participate actively in class dialogue, and complete writing assignments focused on course topics as they relate to one's own career-building needs and professional aspirations.",Spr,3,"; DeSimone, J. (PI); Hwang, L. (TA); Misquez, E. (GP); Rodriguez Santiago, C. (TA)"
ENGR,ENGR 295,"Learning & Teaching of Science (CTL 280, EDUC 280, PHYSICS 295)","This course will provide students with a basic knowledge of the relevant research in cognitive psychology and science education and the ability to apply that knowledge to enhance their ability to learn and teach science, particularly at the undergraduate level.  Course will involve readings, discussion, and application of the ideas through creation of learning activities.  It is suitable for advanced undergraduates and graduate students with some science background.",Spr,3,"; Price, A. (PI); Salehi, S. (PI)"
ENGR,ENGR 298,Seminar in Fluid Mechanics,"Interdepartmental. Problems in all branches of fluid mechanics, with talks by visitors, faculty, and students. Graduate students may register for 1 unit, without letter grade; a letter grade is given for talks. May be repeated for credit.","Aut, Win, Spr",1,"; Alonso, J. (PI); Gorle, C. (PI); Shaqfeh, E. (PI)"
ENGR,ENGR 299,Special Studies in Engineering,"Special studies, lab work, or reading under the direction of a faculty member. Often research experience opportunities exist in ongoing research projects. Students make arrangements with individual faculty and enroll in the corresponding section. Prerequisite: consent of instructor.","Aut, Win, Spr, Sum",1-15,"; Osgood, B. (PI)"
ENGR,ENGR 306,Capital-Formation Design Theory in Practice,"Wonder drives the best kinds of innovation and its injection into human endeavors can be designed and engineered. This course is for innovators of all academic backgrounds who have big ideas for creating new knowledge, agreements, products, services, or experiences. To do that, they need to master the science of capital formation. Capital is commonly thought of as money, but that's just one of its many forms; there is also human capital, process capital, intellectual capital, cultural capital, and natural capital. Knowing how to gather and nurture all these forms of capital is vital to any new venture. Students will practice high-performance team behaviors for capital formation, and they will engage in multiple projects to apply design theories to practical situations. You will need to view and complete a brief onboarding activity. More information is available at https://goto.stanford.edu/stanfordengr306 . Attendance on the first day of class is a requirement for enrollment.",Spr,1-3,"; Chapman, D. (PI); Chen, H. (PI); Mabogunje, A. (PI); Wickham, P. (PI)"
